-2.7	0.0103
-2.7012	0.0108
-2.7024	0.0112
-2.7036	0.0117
-2.7048	0.0123
-2.706	0.0128
-2.7072	0.0134
-2.7084	0.014
-2.7096	0.0146
-2.7108	0.0152
-2.712	0.0159
-2.7132	0.0166
-2.7144	0.0173
-2.7156	0.0181
-2.7168	0.0188
-2.718	0.0196
-2.7192	0.0205
-2.7204	0.0214
-2.7216	0.0223
-2.7228	0.0232
-2.724	0.0242
-2.7252	0.0252
-2.7264	0.0262
-2.7276	0.0273
-2.7288	0.0284
-2.73	0.0296
-2.7312	0.0308
-2.7324	0.032
-2.7336	0.0333
-2.7348	0.0347
-2.736	0.036
-2.7372	0.0375
-2.7384	0.039
-2.7396	0.0405
-2.7408	0.0421
-2.742	0.0437
-2.7432	0.0454
-2.7444	0.0472
-2.7456	0.049
-2.7468	0.0509
-2.748	0.0528
-2.7492	0.0548
-2.7504	0.0569
-2.7516	0.059
-2.7528	0.0612
-2.754	0.0635
-2.7552	0.0659
-2.7564	0.0683
-2.7576	0.0708
-2.7588	0.0734
-2.76	0.076
-2.7612	0.0788
-2.7624	0.0816
-2.7636	0.0845
-2.7648	0.0875
-2.766	0.0906
-2.7672	0.0938
-2.7684	0.0971
-2.7696	0.1005
-2.7708	0.104
-2.772	0.1075
-2.7732	0.1112
-2.7744	0.115
-2.7756	0.1189
-2.7768	0.1229
-2.778	0.127
-2.7792	0.1313
-2.7804	0.1356
-2.7816	0.1401
-2.7828	0.1447
-2.784	0.1494
-2.7852	0.1543
-2.7864	0.1592
-2.7876	0.1643
-2.7888	0.1696
-2.79	0.175
-2.7912	0.1805
-2.7924	0.1861
-2.7936	0.1919
-2.7948	0.1979
-2.796	0.204
-2.7972	0.2102
-2.7984	0.2166
-2.7996	0.2231
-2.8008	0.2298
-2.802	0.2367
-2.8032	0.2437
-2.8044	0.2509
-2.8056	0.2583
-2.8068	0.2658
-2.808	0.2735
-2.8092	0.2813
-2.8104	0.2894
-2.8116	0.2976
-2.8128	0.306
-2.814	0.3146
-2.8152	0.3233
