0.15	0	0.0023
0.2	-0.05	0.002
0.2	0	0.0027
0.25	0	0.0021
0.3	-1	0.0048
0.6	-0.85	0.0093
0.75	-0.75	0.0196
0.8	-0.7	0.0202
0.85	-0.7	0.002
0.85	-0.65	0.0632
0.9	-0.6	0.0046
0.9	-0.05	0.003
0.9	0	0.0041
0.9	0.05	0.003
0.95	-0.55	0.0102
0.95	-0.5	0.3279
0.95	-0.1	0.0026
0.95	-0.05	0.0077
0.95	0	0.0106
0.95	0.05	0.0076
0.95	0.1	0.0025
1	-0.5	0.0048
1	-0.45	0.042
1	-0.4	0.0028
1	-0.1	0.0045
1	-0.05	0.0133
1	0	0.0177
1	0.05	0.0128
1	0.1	0.0042
1.05	-0.4	0.0023
1.05	-0.35	1.0471
1.05	-0.3	0.0037
1.05	-0.25	0.0026
1.05	-0.1	0.0064
1.05	-0.05	0.0179
1.05	0	0.0233
1.05	0.05	0.0162
1.05	0.1	0.0053
1.1	-0.3	0.0024
1.1	-0.25	0.125
1.1	-0.2	0.0094
1.1	-0.1	0.0095
1.1	-0.05	0.0227
1.1	0	0.0264
1.1	0.05	0.0173
1.1	0.1	0.0053
1.15	-0.15	0.007
1.15	-0.1	0.9417
1.15	-0.05	0.0594
1.15	0	0.0383
1.15	0.05	0.0192
1.15	0.1	0.005
1.2	-0.05	0.004
1.2	0	0.0596
1.2	0.05	0.1836
1.2	0.1	0.0143
1.25	0	0.0026
1.25	0.05	0.0033
1.25	0.1	0.0025
1.25	0.2	0.009
1.25	0.25	0.0453
1.25	0.3	0.0027
1.3	0.5	0.019
1.3	0.55	0.0291
1.3	0.6	0.0125
1.35	0.75	0.0033
1.35	0.8	0.0033
1.35	0.9	0.0024
1.4	1.2	0.019
1.4	1.25	0.0829
1.4	1.3	0.2516
1.4	1.35	0.0256
1.45	-1.3	0.0065
1.45	-1.25	0.0084
1.45	-1.2	0.0077
1.5	-0.75	0.0061
1.55	-0.4	0.0048
1.55	-0.35	0.0026
1.55	-0.05	0.0026
1.55	0	0.0028
1.6	-1.35	0.0028
1.6	-1.3	0.0076
1.6	-1.25	0.0069
1.6	-1.2	0.0028
1.6	-0.1	0.0054
1.6	-0.05	0.0221
1.6	0	0.1785
1.6	0.05	0.074
1.6	0.1	0.0295
1.7	-0.05	0.0113
1.7	0	0.0109
1.7	0.05	0.0022
1.75	1.3	0.0021
1.75	1.35	0.0038
1.8	-0.05	0.007
1.8	0	0.014
1.8	0.05	0.0134
1.8	0.1	0.0038
1.85	-0.1	0.0021
1.85	-0.05	0.005
1.85	0	0.0059
1.85	0.05	0.0037
1.9	-0.05	0.0048
1.9	0	0.0062
1.9	0.05	0.0042
1.95	-1.3	0.002
1.95	-0.1	0.0039
1.95	-0.05	0.0123
1.95	0	0.0165
1.95	0.05	0.0114
1.95	0.1	0.0033
2	-1.35	0.0022
2	-1.3	0.0036
2	-1.25	0.0029
2	-0.1	0.0072
2	-0.05	0.0222
2	0	0.03
2	0.05	0.0211
2	0.1	0.0064
2	1.3	0.0025
2	1.35	0.0043
2	1.4	0.0024
2.05	-1.35	0.0022
2.05	-1.3	0.0035
2.05	-1.25	0.0029
2.05	-0.1	0.0073
2.05	-0.05	0.0222
2.05	0	0.0299
2.05	0.05	0.0212
2.05	0.1	0.0067
2.05	1.25	0.0052
2.05	1.3	0.0059
2.05	1.35	0.0041
2.1	-0.1	0.0041
2.1	-0.05	0.0118
2.1	0	0.016
2.1	0.05	0.0114
2.1	0.1	0.0037
2.1	1.25	0.002
2.1	1.3	0.0023
2.15	-0.05	0.0051
2.15	0	0.0067
2.15	0.05	0.0048
2.2	-0.1	0.003
2.2	-0.05	0.0079
2.2	0	0.0108
2.2	0.05	0.0079
2.2	0.1	0.0027
2.25	-1.3	0.0021
2.25	-0.1	0.0048
2.25	-0.05	0.0132
2.25	0	0.0174
2.25	0.05	0.0127
2.25	0.1	0.0043
2.25	1.25	0.0022
2.25	1.3	0.0025
2.3	-0.1	0.0043
2.3	-0.05	0.011
2.3	0	0.0144
2.3	0.05	0.0104
2.3	0.1	0.0036
2.3	1.3	0.0022
2.35	-0.05	0.0049
2.35	0	0.0061
2.35	0.05	0.0043
2.4	-0.05	0.0025
2.4	0	0.0035
2.4	0.05	0.0026
2.45	-0.05	0.0042
2.45	0	0.006
2.45	0.05	0.0046
2.5	-0.05	0.0044
2.5	0	0.0062
2.5	0.05	0.0047
2.55	-0.05	0.0025
2.55	0	0.0034
2.55	0.05	0.0026
2.75	-1.3	0.0028
2.75	-1.25	0.0023
2.75	-0.1	0.0055
2.75	-0.05	0.0172
2.75	0	0.0234
2.75	0.05	0.0165
2.75	0.1	0.0048
2.75	1.25	0.003
2.75	1.3	0.0035
2.75	1.35	0.0021
2.8	-1.35	0.0066
2.8	-1.3	0.0106
2.8	-1.25	0.0087
2.8	-1.2	0.0031
2.8	-0.4	0.0022
2.8	-0.25	0.0043
2.8	-0.2	0.0032
2.8	-0.1	0.0207
2.8	-0.05	0.0635
2.8	0	0.0865
2.8	0.05	0.0613
2.8	0.1	0.0195
2.8	0.2	0.0033
2.8	0.25	0.0043
2.8	1.2	0.004
2.8	1.25	0.0107
2.8	1.3	0.0126
2.8	1.35	0.0076
2.8	1.4	0.0021
2.85	-1.4	0.0036
2.85	-1.35	0.0128
2.85	-1.3	0.0207
2.85	-1.25	0.0174
2.85	-1.2	0.0063
2.85	-1.05	0.0022
2.85	-0.4	0.0038
