0.3 -1  0.0088
0.55    -0.9    0.0024
0.55    0   0.0011
0.6 -0.85   0.0134
0.65    -0.8    0.0039
0.7 -0.8    0.0085
0.75    -0.75   0.0465
0.75    -0.1    0.001
0.75    -0.05   0.0033
0.75    0   0.0045
0.75    0.05    0.0034
0.75    0.1 0.0012
0.8 -1.3    0.0011
0.8 -0.75   0.0019
0.8 -0.7    0.095
0.8 -0.65   0.0029
0.8 -0.1    0.0027
0.8 -0.05   0.0085
0.8 0   0.0118
0.8 0.05    0.0088
0.8 0.1 0.003
0.8 1.3 0.001
0.85    -1.35   0.001
0.85    -1.3    0.0017
0.85    -1.25   0.0015
0.85    -0.75   0.0014
0.85    -0.7    0.0068
0.85    -0.65   0.1629
0.85    -0.6    0.0017
0.85    -0.1    0.0046
0.85    -0.05   0.014
0.85    0   0.0194
0.85    0.05    0.0143
0.85    0.1 0.0048
0.85    0.25    0.001
0.85    1.25    0.0013
0.85    1.3 0.0016
0.9 -1.35   0.0011
0.9 -1.3    0.0018
0.9 -1.25   0.0015
0.9 -0.75   0.0011
0.9 -0.7    0.0027
0.9 -0.65   0.0043
0.9 -0.6    0.015
0.9 -0.55   0.0051
0.9 -0.25   0.0011
0.9 -0.1    0.0055
0.9 -0.05   0.0168
0.9 0   0.023
0.9 0.05    0.0168
0.9 0.1 0.0055
0.9 0.25    0.0012
0.9 1.25    0.0014
0.9 1.3 0.0017
0.9 1.35    0.0011
0.95    -1.3    0.0014
0.95    -1.25   0.0012
0.95    -0.7    0.0014
0.95    -0.65   0.0012
0.95    -0.55   0.0102
0.95    -0.5    0.2676
0.95    -0.4    0.0015
0.95    -0.25   0.0011
0.95    -0.1    0.0051
0.95    -0.05   0.0154
0.95    0   0.0209
0.95    0.05    0.015
0.95    0.1 0.0048
0.95    0.25    0.001
0.95    1.25    0.0011
0.95    1.3 0.0014
1   -0.5    0.0013
1   -0.45   0.0239
1   -0.4    0.0063
1   -0.35   0.0011
1   -0.1    0.0037
1   -0.05   0.011
1   0   0.0144
1   0.05    0.0101
1   0.1 0.0031
1.05    -0.4    0.0013
1.05    -0.35   0.2139
1.05    -0.25   0.0012
1.05    -0.1    0.0022
